ticker,date,drop_pts,underlying_open,underlying_high,underlying_low,underlying_close,strike,contract,offset_from_low,opt_open,opt_high,opt_low,opt_close
IWM,2026-01-30,3.13,261.07,262.98,257.94,259.65,269.0,O:IWM260130C00269000,11.06,0.01,0.03,0.01,0.01
IWM,2026-02-03,4.51,263.06,265.0599,258.551,262.78,259.0,O:IWM260203C00259000,0.45,5.31,5.55,0.45,3.71
IWM,2026-02-03,4.51,263.06,265.0599,258.551,262.78,260.0,O:IWM260203C00260000,1.45,3.38,4.99,0.15,3.0
IWM,2026-02-03,4.51,263.06,265.0599,258.551,262.78,261.0,O:IWM260203C00261000,2.45,2.32,3.99,0.04,2.02
IWM,2026-02-03,4.51,263.06,265.0599,258.551,262.78,262.0,O:IWM260203C00262000,3.45,1.52,3.15,0.01,1.0
IWM,2026-02-03,4.51,263.06,265.0599,258.551,262.78,263.0,O:IWM260203C00263000,4.45,0.72,2.26,0.01,0.16
IWM,2026-02-03,4.51,263.06,265.0599,258.551,262.78,264.0,O:IWM260203C00264000,5.45,0.46,1.52,0.01,0.01
IWM,2026-02-03,4.51,263.06,265.0599,258.551,262.78,265.0,O:IWM260203C00265000,6.45,0.24,0.9,0.01,0.01
IWM,2026-02-03,4.51,263.06,265.0599,258.551,262.78,266.0,O:IWM260203C00266000,7.45,0.1,0.47,0.01,0.01
IWM,2026-02-03,4.51,263.06,265.0599,258.551,262.78,267.0,O:IWM260203C00267000,8.45,0.04,0.22,0.01,0.01
IWM,2026-02-03,4.51,263.06,265.0599,258.551,262.78,268.0,O:IWM260203C00268000,9.45,0.02,0.09,0.01,0.01
IWM,2026-02-03,4.51,263.06,265.0599,258.551,262.78,269.0,O:IWM260203C00269000,10.45,0.01,0.06,0.01,0.06
IWM,2026-02-03,4.51,263.06,265.0599,258.551,262.78,270.0,O:IWM260203C00270000,11.45,0.01,0.02,0.01,0.01
IWM,2026-02-04,7.02,264.16,264.65,257.14,260.52,258.0,O:IWM260204C00258000,0.86,6.17,6.17,0.52,2.53
IWM,2026-02-04,7.02,264.16,264.65,257.14,260.52,259.0,O:IWM260204C00259000,1.86,5.26,5.5,0.24,1.65
IWM,2026-02-04,7.02,264.16,264.65,257.14,260.52,260.0,O:IWM260204C00260000,2.86,4.2,4.59,0.1,0.96
IWM,2026-02-04,7.02,264.16,264.65,257.14,260.52,261.0,O:IWM260204C00261000,3.86,3.5,3.8,0.04,0.21
IWM,2026-02-04,7.02,264.16,264.65,257.14,260.52,262.0,O:IWM260204C00262000,4.86,2.75,2.89,0.01,0.01
IWM,2026-02-04,7.02,264.16,264.65,257.14,260.52,263.0,O:IWM260204C00263000,5.86,1.6,2.18,0.01,0.01
IWM,2026-02-04,7.02,264.16,264.65,257.14,260.52,264.0,O:IWM260204C00264000,6.86,1.23,1.5,0.01,0.01
IWM,2026-02-04,7.02,264.16,264.65,257.14,260.52,265.0,O:IWM260204C00265000,7.86,0.6,0.95,0.01,0.01
IWM,2026-02-04,7.02,264.16,264.65,257.14,260.52,266.0,O:IWM260204C00266000,8.86,0.35,0.54,0.01,0.01
IWM,2026-02-04,7.02,264.16,264.65,257.14,260.52,267.0,O:IWM260204C00267000,9.86,0.16,0.28,0.01,0.01
IWM,2026-02-04,7.02,264.16,264.65,257.14,260.52,268.0,O:IWM260204C00268000,10.86,0.07,0.12,0.01,0.01
IWM,2026-02-04,7.02,264.16,264.65,257.14,260.52,269.0,O:IWM260204C00269000,11.86,0.05,0.05,0.01,0.01
IWM,2026-02-05,3.45,258.5,261.62,255.05,255.83,256.0,O:IWM260205C00256000,0.95,3.53,5.21,0.06,0.51
IWM,2026-02-05,3.45,258.5,261.62,255.05,255.83,257.0,O:IWM260205C00257000,1.95,2.95,4.41,0.01,0.02
IWM,2026-02-05,3.45,258.5,261.62,255.05,255.83,258.0,O:IWM260205C00258000,2.95,1.8,3.67,0.01,0.01
IWM,2026-02-05,3.45,258.5,261.62,255.05,255.83,259.0,O:IWM260205C00259000,3.95,1.36,3.1,0.01,0.01
IWM,2026-02-05,3.45,258.5,261.62,255.05,255.83,260.0,O:IWM260205C00260000,4.95,0.83,2.43,0.01,0.01
IWM,2026-02-05,3.45,258.5,261.62,255.05,255.83,261.0,O:IWM260205C00261000,5.95,0.5,1.79,0.01,0.01
IWM,2026-02-05,3.45,258.5,261.62,255.05,255.83,262.0,O:IWM260205C00262000,6.95,0.27,1.22,0.01,0.01
IWM,2026-02-05,3.45,258.5,261.62,255.05,255.83,263.0,O:IWM260205C00263000,7.95,0.11,0.78,0.01,0.01
IWM,2026-02-05,3.45,258.5,261.62,255.05,255.83,264.0,O:IWM260205C00264000,8.95,0.08,0.46,0.01,0.01
IWM,2026-02-05,3.45,258.5,261.62,255.05,255.83,265.0,O:IWM260205C00265000,9.95,0.03,0.25,0.01,0.01
IWM,2026-02-05,3.45,258.5,261.62,255.05,255.83,266.0,O:IWM260205C00266000,10.95,0.04,0.13,0.01,0.01
IWM,2026-02-05,3.45,258.5,261.62,255.05,255.83,267.0,O:IWM260205C00267000,11.95,0.02,0.06,0.01,0.01
IWM,2026-02-11,6.37,268.47,268.96,262.1,264.95,263.0,O:IWM260211C00263000,0.9,5.56,5.91,0.53,2.05
IWM,2026-02-11,6.37,268.47,268.96,262.1,264.95,264.0,O:IWM260211C00264000,1.9,4.55,4.69,0.2,1.03
IWM,2026-02-11,6.37,268.47,268.96,262.1,264.95,265.0,O:IWM260211C00265000,2.9,3.57,4.0,0.04,0.13
IWM,2026-02-11,6.37,268.47,268.96,262.1,264.95,266.0,O:IWM260211C00266000,3.9,2.75,3.11,0.01,0.01
IWM,2026-02-11,6.37,268.47,268.96,262.1,264.95,267.0,O:IWM260211C00267000,4.9,2.0,2.28,0.01,0.01
IWM,2026-02-11,6.37,268.47,268.96,262.1,264.95,268.0,O:IWM260211C00268000,5.9,1.29,1.54,0.01,0.01
IWM,2026-02-11,6.37,268.47,268.96,262.1,264.95,269.0,O:IWM260211C00269000,6.9,0.77,0.93,0.01,0.01
IWM,2026-02-11,6.37,268.47,268.96,262.1,264.95,270.0,O:IWM260211C00270000,7.9,0.5,0.6,0.01,0.01
IWM,2026-02-11,6.37,268.47,268.96,262.1,264.95,271.0,O:IWM260211C00271000,8.9,0.2,0.25,0.01,0.01
IWM,2026-02-11,6.37,268.47,268.96,262.1,264.95,272.0,O:IWM260211C00272000,9.9,0.09,0.12,0.01,0.01
IWM,2026-02-11,6.37,268.47,268.96,262.1,264.95,273.0,O:IWM260211C00273000,10.9,0.04,0.05,0.01,0.01
IWM,2026-02-11,6.37,268.47,268.96,262.1,264.95,274.0,O:IWM260211C00274000,11.9,0.02,0.03,0.01,0.01
IWM,2026-02-12,8.63,267.02,267.46,258.39,259.54,259.0,O:IWM260212C00259000,0.61,8.02,8.02,0.37,0.55
IWM,2026-02-12,8.63,267.02,267.46,258.39,259.54,260.0,O:IWM260212C00260000,1.61,7.01,7.18,0.01,0.02
IWM,2026-02-12,8.63,267.02,267.46,258.39,259.54,261.0,O:IWM260212C00261000,2.61,6.04,6.35,0.01,0.01
IWM,2026-02-12,8.63,267.02,267.46,258.39,259.54,262.0,O:IWM260212C00262000,3.61,5.11,5.25,0.01,0.01
IWM,2026-02-12,8.63,267.02,267.46,258.39,259.54,263.0,O:IWM260212C00263000,4.61,4.1,4.52,0.01,0.01
IWM,2026-02-12,8.63,267.02,267.46,258.39,259.54,264.0,O:IWM260212C00264000,5.61,3.22,3.58,0.01,0.01
IWM,2026-02-12,8.63,267.02,267.46,258.39,259.54,265.0,O:IWM260212C00265000,6.61,2.3,2.7,0.01,0.01
IWM,2026-02-12,8.63,267.02,267.46,258.39,259.54,266.0,O:IWM260212C00266000,7.61,1.5,1.96,0.01,0.01
IWM,2026-02-12,8.63,267.02,267.46,258.39,259.54,267.0,O:IWM260212C00267000,8.61,1.0,1.27,0.01,0.01
IWM,2026-02-12,8.63,267.02,267.46,258.39,259.54,268.0,O:IWM260212C00268000,9.61,0.55,0.76,0.01,0.01
IWM,2026-02-12,8.63,267.02,267.46,258.39,259.54,269.0,O:IWM260212C00269000,10.61,0.27,0.4,0.01,0.01
IWM,2026-02-12,8.63,267.02,267.46,258.39,259.54,270.0,O:IWM260212C00270000,11.61,0.13,0.2,0.01,0.01
IWM,2026-02-17,3.31,262.375,264.36,259.06,263.04,260.0,O:IWM260217C00260000,0.94,2.93,4.31,0.68,2.86
IWM,2026-02-17,3.31,262.375,264.36,259.06,263.04,261.0,O:IWM260217C00261000,1.94,2.33,3.32,0.37,1.91
IWM,2026-02-17,3.31,262.375,264.36,259.06,263.04,262.0,O:IWM260217C00262000,2.94,1.65,2.66,0.17,0.95
IWM,2026-02-17,3.31,262.375,264.36,259.06,263.04,263.0,O:IWM260217C00263000,3.94,1.04,2.0,0.04,0.1
IWM,2026-02-17,3.31,262.375,264.36,259.06,263.04,264.0,O:IWM260217C00264000,4.94,0.63,1.43,0.01,0.01
IWM,2026-02-17,3.31,262.375,264.36,259.06,263.04,265.0,O:IWM260217C00265000,5.94,0.36,0.96,0.01,0.01
IWM,2026-02-17,3.31,262.375,264.36,259.06,263.04,266.0,O:IWM260217C00266000,6.94,0.14,0.59,0.01,0.01
IWM,2026-02-17,3.31,262.375,264.36,259.06,263.04,267.0,O:IWM260217C00267000,7.94,0.13,0.34,0.01,0.01
IWM,2026-02-17,3.31,262.375,264.36,259.06,263.04,268.0,O:IWM260217C00268000,8.94,0.04,0.18,0.01,0.01
IWM,2026-02-17,3.31,262.375,264.36,259.06,263.04,269.0,O:IWM260217C00269000,9.94,0.02,0.12,0.01,0.01
IWM,2026-02-17,3.31,262.375,264.36,259.06,263.04,270.0,O:IWM260217C00270000,10.94,0.03,0.04,0.01,0.01
IWM,2026-02-17,3.31,262.375,264.36,259.06,263.04,271.0,O:IWM260217C00271000,11.94,0.01,0.02,0.01,0.01
IWM,2026-02-23,5.3,263.4,264.37,258.1,260.49,259.0,O:IWM260223C00259000,0.9,5.06,5.06,0.38,1.7
IWM,2026-02-23,5.3,263.4,264.37,258.1,260.49,260.0,O:IWM260223C00260000,1.9,3.62,4.31,0.14,0.72
IWM,2026-02-23,5.3,263.4,264.37,258.1,260.49,261.0,O:IWM260223C00261000,2.9,2.75,3.35,0.01,0.02
IWM,2026-02-23,5.3,263.4,264.37,258.1,260.49,262.0,O:IWM260223C00262000,3.9,1.87,2.73,0.01,0.01
IWM,2026-02-23,5.3,263.4,264.37,258.1,260.49,263.0,O:IWM260223C00263000,4.9,1.52,1.95,0.01,0.01
IWM,2026-02-23,5.3,263.4,264.37,258.1,260.49,264.0,O:IWM260223C00264000,5.9,0.99,1.29,0.01,0.01
IWM,2026-02-23,5.3,263.4,264.37,258.1,260.49,265.0,O:IWM260223C00265000,6.9,0.62,0.77,0.01,0.01
IWM,2026-02-23,5.3,263.4,264.37,258.1,260.49,266.0,O:IWM260223C00266000,7.9,0.29,0.41,0.01,0.01
IWM,2026-02-23,5.3,263.4,264.37,258.1,260.49,267.0,O:IWM260223C00267000,8.9,0.14,0.2,0.01,0.01
IWM,2026-02-23,5.3,263.4,264.37,258.1,260.49,268.0,O:IWM260223C00268000,9.9,0.07,0.09,0.01,0.01
IWM,2026-02-23,5.3,263.4,264.37,258.1,260.49,269.0,O:IWM260223C00269000,10.9,0.03,0.04,0.01,0.01
IWM,2026-02-23,5.3,263.4,264.37,258.1,260.49,270.0,O:IWM260223C00270000,11.9,0.01,0.02,0.01,0.01
IWM,2026-03-03,3.49,256.8,261.12,253.31,259.24,254.0,O:IWM260303C00254000,0.69,3.53,6.84,0.99,5.28
IWM,2026-03-03,3.49,256.8,261.12,253.31,259.24,255.0,O:IWM260303C00255000,1.69,2.5,5.86,0.63,4.73
IWM,2026-03-03,3.49,256.8,261.12,253.31,259.24,256.0,O:IWM260303C00256000,2.69,1.91,5.02,0.38,3.05
IWM,2026-03-03,3.49,256.8,261.12,253.31,259.24,257.0,O:IWM260303C00257000,3.69,1.53,4.02,0.22,2.1
IWM,2026-03-03,3.49,256.8,261.12,253.31,259.24,258.0,O:IWM260303C00258000,4.69,0.96,3.1,0.12,1.09
IWM,2026-03-03,3.49,256.8,261.12,253.31,259.24,259.0,O:IWM260303C00259000,5.69,2.0,2.15,0.06,0.17
IWM,2026-03-03,3.49,256.8,261.12,253.31,259.24,260.0,O:IWM260303C00260000,6.69,0.37,1.3,0.01,0.01
IWM,2026-03-03,3.49,256.8,261.12,253.31,259.24,261.0,O:IWM260303C00261000,7.69,0.21,0.63,0.01,0.01
IWM,2026-03-03,3.49,256.8,261.12,253.31,259.24,262.0,O:IWM260303C00262000,8.69,0.1,0.27,0.01,0.01
IWM,2026-03-03,3.49,256.8,261.12,253.31,259.24,263.0,O:IWM260303C00263000,9.69,0.05,0.1,0.01,0.01
IWM,2026-03-03,3.49,256.8,261.12,253.31,259.24,264.0,O:IWM260303C00264000,10.69,0.02,0.04,0.01,0.01
IWM,2026-03-03,3.49,256.8,261.12,253.31,259.24,265.0,O:IWM260303C00265000,11.69,0.02,0.06,0.01,0.01
IWM,2026-03-05,4.83,258.99,260.755,254.16,256.76,255.0,O:IWM260305C00255000,0.84,4.0,5.76,0.28,1.31
IWM,2026-03-05,4.83,258.99,260.755,254.16,256.76,256.0,O:IWM260305C00256000,1.84,3.19,4.67,0.08,0.34
IWM,2026-03-05,4.83,258.99,260.755,254.16,256.76,257.0,O:IWM260305C00257000,2.84,2.52,3.66,0.01,0.01
IWM,2026-03-05,4.83,258.99,260.755,254.16,256.76,258.0,O:IWM260305C00258000,3.84,2.01,2.99,0.01,0.01
IWM,2026-03-05,4.83,258.99,260.755,254.16,256.76,259.0,O:IWM260305C00259000,4.84,1.4,2.18,0.01,0.01
IWM,2026-03-05,4.83,258.99,260.755,254.16,256.76,260.0,O:IWM260305C00260000,5.84,0.84,1.48,0.01,0.01
IWM,2026-03-05,4.83,258.99,260.755,254.16,256.76,261.0,O:IWM260305C00261000,6.84,0.52,0.9,0.01,0.01
IWM,2026-03-05,4.83,258.99,260.755,254.16,256.76,262.0,O:IWM260305C00262000,7.84,0.24,0.49,0.01,0.01
IWM,2026-03-05,4.83,258.99,260.755,254.16,256.76,263.0,O:IWM260305C00263000,8.84,0.12,0.24,0.01,0.01
IWM,2026-03-05,4.83,258.99,260.755,254.16,256.76,264.0,O:IWM260305C00264000,9.84,0.2,0.2,0.01,0.01
IWM,2026-03-05,4.83,258.99,260.755,254.16,256.76,265.0,O:IWM260305C00265000,10.84,0.03,0.05,0.01,0.01
IWM,2026-03-05,4.83,258.99,260.755,254.16,256.76,266.0,O:IWM260305C00266000,11.84,0.01,0.03,0.01,0.01
IWM,2026-03-09,3.2,247.59,254.65,244.39,253.62,245.0,O:IWM260309C00245000,0.61,3.47,9.45,1.2,9.2
IWM,2026-03-09,3.2,247.59,254.65,244.39,253.62,246.0,O:IWM260309C00246000,1.61,2.91,8.59,0.8,6.69
IWM,2026-03-09,3.2,247.59,254.65,244.39,253.62,247.0,O:IWM260309C00247000,2.61,2.21,7.39,0.51,6.02
IWM,2026-03-09,3.2,247.59,254.65,244.39,253.62,248.0,O:IWM260309C00248000,3.61,1.73,6.28,0.31,4.98
IWM,2026-03-09,3.2,247.59,254.65,244.39,253.62,249.0,O:IWM260309C00249000,4.61,1.26,5.43,0.18,3.71
IWM,2026-03-09,3.2,247.59,254.65,244.39,253.62,250.0,O:IWM260309C00250000,5.61,0.85,4.59,0.05,2.79
IWM,2026-03-09,3.2,247.59,254.65,244.39,253.62,251.0,O:IWM260309C00251000,6.61,0.59,3.6,0.02,1.86
IWM,2026-03-09,3.2,247.59,254.65,244.39,253.62,252.0,O:IWM260309C00252000,7.61,0.46,2.66,0.01,0.87
IWM,2026-03-09,3.2,247.59,254.65,244.39,253.62,253.0,O:IWM260309C00253000,8.61,0.24,1.7,0.01,0.17
IWM,2026-03-09,3.2,247.59,254.65,244.39,253.62,254.0,O:IWM260309C00254000,9.61,0.1,0.92,0.01,0.02
IWM,2026-03-09,3.2,247.59,254.65,244.39,253.62,255.0,O:IWM260309C00255000,10.61,0.1,0.43,0.01,0.01
IWM,2026-03-09,3.2,247.59,254.65,244.39,253.62,256.0,O:IWM260309C00256000,11.61,0.04,0.19,0.01,0.01
IWM,2026-03-13,3.72,249.26,250.61,245.535,246.59,246.0,O:IWM260313C00246000,0.47,3.75,4.8,0.23,0.33
IWM,2026-03-13,3.72,249.26,250.61,245.535,246.59,247.0,O:IWM260313C00247000,1.47,3.03,3.89,0.01,0.01
IWM,2026-03-13,3.72,249.26,250.61,245.535,246.59,248.0,O:IWM260313C00248000,2.47,2.3,3.1,0.01,0.01
IWM,2026-03-13,3.72,249.26,250.61,245.535,246.59,249.0,O:IWM260313C00249000,3.47,1.57,2.35,0.01,0.02
IWM,2026-03-13,3.72,249.26,250.61,245.535,246.59,250.0,O:IWM260313C00250000,4.47,1.13,1.69,0.01,0.01
IWM,2026-03-13,3.72,249.26,250.61,245.535,246.59,251.0,O:IWM260313C00251000,5.47,0.76,1.15,0.01,0.02
IWM,2026-03-13,3.72,249.26,250.61,245.535,246.59,252.0,O:IWM260313C00252000,6.47,0.44,0.75,0.01,0.01
IWM,2026-03-13,3.72,249.26,250.61,245.535,246.59,252.5,O:IWM260313C00252500,6.97,0.44,0.59,0.01,0.01
IWM,2026-03-13,3.72,249.26,250.61,245.535,246.59,253.0,O:IWM260313C00253000,7.47,0.25,0.46,0.01,0.01
IWM,2026-03-13,3.72,249.26,250.61,245.535,246.59,254.0,O:IWM260313C00254000,8.47,0.12,0.26,0.01,0.01
IWM,2026-03-13,3.72,249.26,250.61,245.535,246.59,255.0,O:IWM260313C00255000,9.47,0.08,0.14,0.01,0.01
IWM,2026-03-13,3.72,249.26,250.61,245.535,246.59,256.0,O:IWM260313C00256000,10.47,0.04,0.07,0.01,0.01
IWM,2026-03-13,3.72,249.26,250.61,245.535,246.59,257.0,O:IWM260313C00257000,11.47,0.02,0.03,0.01,0.01
IWM,2026-03-20,6.64,246.97,247.5,240.33,242.22,241.0,O:IWM260320C00241000,0.67,6.15,6.49,0.22,1.67
IWM,2026-03-20,6.64,246.97,247.5,240.33,242.22,242.0,O:IWM260320C00242000,1.67,4.25,5.35,0.04,0.81
IWM,2026-03-20,6.64,246.97,247.5,240.33,242.22,243.0,O:IWM260320C00243000,2.67,4.54,4.57,0.01,0.11
IWM,2026-03-20,6.64,246.97,247.5,240.33,242.22,244.0,O:IWM260320C00244000,3.67,3.72,3.72,0.01,0.01
IWM,2026-03-20,6.64,246.97,247.5,240.33,242.22,245.0,O:IWM260320C00245000,4.67,2.77,2.92,0.01,0.01
IWM,2026-03-20,6.64,246.97,247.5,240.33,242.22,246.0,O:IWM260320C00246000,5.67,2.04,2.18,0.01,0.01
IWM,2026-03-20,6.64,246.97,247.5,240.33,242.22,247.0,O:IWM260320C00247000,6.67,1.4,1.61,0.01,0.01
IWM,2026-03-20,6.64,246.97,247.5,240.33,242.22,248.0,O:IWM260320C00248000,7.67,0.93,1.11,0.01,0.01
IWM,2026-03-20,6.64,246.97,247.5,240.33,242.22,249.0,O:IWM260320C00249000,8.67,0.59,0.72,0.01,0.01
IWM,2026-03-20,6.64,246.97,247.5,240.33,242.22,250.0,O:IWM260320C00250000,9.67,0.39,0.45,0.01,0.01
IWM,2026-03-20,6.64,246.97,247.5,240.33,242.22,251.0,O:IWM260320C00251000,10.67,0.22,0.28,0.01,0.01
IWM,2026-03-20,6.64,246.97,247.5,240.33,242.22,252.0,O:IWM260320C00252000,11.67,0.13,0.16,0.01,0.01
IWM,2026-03-27,3.6,246.01,246.74,242.41,243.1,243.0,O:IWM260327C00243000,0.59,3.62,3.71,0.15,0.16
IWM,2026-03-27,3.6,246.01,246.74,242.41,243.1,244.0,O:IWM260327C00244000,1.59,2.78,2.95,0.03,0.03
IWM,2026-03-27,3.6,246.01,246.74,242.41,243.1,245.0,O:IWM260327C00245000,2.59,2.0,2.26,0.01,0.02
IWM,2026-03-27,3.6,246.01,246.74,242.41,243.1,246.0,O:IWM260327C00246000,3.59,1.58,1.68,0.01,0.01
IWM,2026-03-27,3.6,246.01,246.74,242.41,243.1,247.0,O:IWM260327C00247000,4.59,1.0,1.19,0.01,0.01
IWM,2026-03-27,3.6,246.01,246.74,242.41,243.1,248.0,O:IWM260327C00248000,5.59,0.69,0.79,0.01,0.01
IWM,2026-03-27,3.6,246.01,246.74,242.41,243.1,249.0,O:IWM260327C00249000,6.59,0.4,0.51,0.01,0.02
IWM,2026-03-27,3.6,246.01,246.74,242.41,243.1,250.0,O:IWM260327C00250000,7.59,0.27,0.32,0.01,0.01
IWM,2026-03-27,3.6,246.01,246.74,242.41,243.1,251.0,O:IWM260327C00251000,8.59,0.15,0.2,0.01,0.01
IWM,2026-03-27,3.6,246.01,246.74,242.41,243.1,252.0,O:IWM260327C00252000,9.59,0.09,0.15,0.01,0.01
IWM,2026-03-27,3.6,246.01,246.74,242.41,243.1,253.0,O:IWM260327C00253000,10.59,0.01,0.48,0.01,0.01
IWM,2026-03-27,3.6,246.01,246.74,242.41,243.1,254.0,O:IWM260327C00254000,11.59,0.05,0.05,0.01,0.01
